<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <UpperBand>, <LowerBand>, <MidLine>, <Avg>, <ADX>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>, <RSI>, <OverBot>, <OverSld>
2024/6/24,13:30:00,940,940,940,940,11461,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024/6/25,13:30:00,925,945,923,945,57317,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024/6/26,13:30:00,951,960,951,960,44911,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024/6/27,13:30:00,951,961,949,960,39696,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024/6/28,13:30:00,956,971,955,966,39100,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024/7/1,13:30:00,968,977,965,968,19900,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024/7/2,13:30:00,967,971,959,960,25382,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024/7/3,13:30:00,976,979,967,979,24017,0,0,0,0,0.00,1.52,0.30,1.21,0.00,0.00,0.00,0.00
2024/7/4,13:30:00,1000,1010,997,1005,41808,0,0,0,0,0.00,4.76,1.19,3.57,0.00,0.00,0.00,0.00
2024/7/5,13:30:00,1005,1010,1000,1005,19893,0,0,0,0,0.00,7.25,2.41,4.84,0.00,0.00,0.00,0.00
2024/7/8,13:30:00,1005,1050,1000,1035,40055,0,0,0,0,0.00,11.51,4.23,7.28,0.00,0.00,0.00,0.00
2024/7/9,13:30:00,1030,1055,1025,1040,46324,0,0,0,0,0.00,15.11,6.40,8.71,0.00,0.00,0.00,0.00
2024/7/10,13:30:00,1020,1050,1015,1045,46143,0,0,0,1000,0.00,18.16,8.75,9.41,0.00,0.00,0.00,0.00
2024/7/11,13:30:00,1065,1080,1055,1080,41594,0,0,0,1013,0.00,23.14,11.63,11.51,0.00,0.00,0.00,0.00
2024/7/12,13:30:00,1030,1045,1025,1040,68872,0,0,0,1021,0.00,23.58,14.02,9.56,0.00,0.00,0.00,0.00
2024/7/15,13:30:00,1040,1045,1025,1040,38331,0,0,0,1030,0.00,23.66,15.95,7.71,0.00,0.00,0.00,0.00
2024/7/16,13:30:00,1040,1070,1035,1055,32082,0,0,0,1038,0.00,24.65,17.69,6.96,0.00,0.00,0.00,0.00
2024/7/17,13:30:00,1035,1045,1020,1030,53955,0,0,0,1041,0.00,23.15,18.78,4.37,0.00,0.00,0.00,0.00
2024/7/18,13:30:00,988,1005,986,1005,81911,0,0,0,1041,0.00,19.72,18.97,0.75,0.00,0.00,0.00,0.00
2024/7/19,13:30:00,988,995,970,970,92263,0,0,0,1034,0.00,14.01,17.98,-3.97,0.00,0.00,0.00,0.00
2024/7/22,13:30:00,964,965,938,939,82855,0,0,0,1023,0.00,6.90,15.76,-8.86,0.00,0.00,0.00,0.00
2024/7/23,13:30:00,963,979,956,979,47048,1081,925,1003,1015,2.84,4.45,13.50,-9.05,0.00,0.00,0.00,0.00
2024/7/26,13:30:00,915,930,915,924,81991,1085,917,1001,998,6.96,-1.91,10.42,-12.33,0.00,38.12,70.00,30.00
2024/7/29,13:30:00,942,948,936,944,40740,1086,915,1000,987,6.11,-5.28,7.28,-12.55,0.00,41.80,70.00,30.00
2024/7/30,13:30:00,930,949,926,940,41723,1088,911,999,976,6.51,-8.17,4.19,-12.36,0.00,41.27,70.00,30.00
2024/7/31,13:30:00,929,940,928,934,39840,1089,905,997,963,6.75,-10.83,1.19,-12.01,0.00,40.45,70.00,30.00
2024/8/1,13:30:00,969,969,948,960,47318,1089,905,997,955,6.22,-10.71,-1.19,-9.52,0.00,45.53,70.00,30.00
2024/8/2,13:30:00,918,928,903,903,75813,1094,893,994,944,7.03,-15.04,-3.96,-11.08,0.00,37.89,70.00,30.00
2024/8/5,13:30:00,852,857,813,815,143558,1111,857,984,926,10.30,-25.28,-8.23,-17.06,0.00,29.63,70.00,30.00
2024/8/6,13:30:00,868,895,840,880,102814,1112,844,978,920,11.38,-27.84,-12.15,-15.69,0.00,40.03,70.00,30.00
2024/8/7,13:30:00,901,920,893,920,59054,1106,838,972,913,11.46,-26.33,-14.98,-11.34,0.00,45.38,70.00,30.00
2024/8/8,13:30:00,901,905,887,896,38116,1099,831,965,910,11.65,-26.76,-17.34,-9.42,0.00,42.91,70.00,30.00
2024/8/9,13:30:00,927,934,922,934,49336,1089,830,959,909,11.05,-23.76,-18.62,-5.14,0.00,47.76,70.00,30.00
2024/8/12,13:30:00,942,948,931,940,38272,1070,835,952,909,10.23,-20.67,-19.03,-1.63,0.00,48.51,70.00,30.00
2024/8/13,13:30:00,945,945,937,941,25714,1057,837,947,910,9.52,-17.92,-18.81,0.89,0.00,48.64,70.00,30.00
2024/8/14,13:30:00,951,955,945,948,36717,1044,841,943,909,9.05,-15.01,-18.05,3.04,0.00,49.61,70.00,30.00
2024/8/15,13:30:00,945,950,941,943,19434,1025,850,937,913,8.51,-12.96,-17.03,4.07,0.00,48.90,70.00,30.00
2024/8/16,13:30:00,963,969,958,969,44006,1012,856,934,930,8.46,-9.13,-15.45,6.32,0.00,52.69,70.00,30.00
2024/8/19,13:30:00,969,975,964,973,21306,1006,859,933,940,8.57,-5.70,-13.50,7.80,0.00,53.27,70.00,30.00
2024/8/20,13:30:00,977,977,968,973,24008,1007,859,933,946,8.71,-2.96,-11.39,8.44,0.00,53.27,70.00,30.00
2024/8/21,13:30:00,961,964,956,958,29724,1008,859,934,953,8.47,-1.97,-9.51,7.54,0.00,50.59,70.00,30.00
2024/8/22,13:30:00,958,964,948,951,24319,1004,860,932,955,8.00,-1.73,-7.95,6.22,0.00,49.35,70.00,30.00
2024/8/23,13:30:00,944,952,939,949,27566,1006,861,934,956,7.58,-1.68,-6.70,5.02,0.00,48.98,70.00,30.00
2024/8/26,13:30:00,957,961,945,950,25030,1006,861,934,957,7.18,-1.54,-5.67,4.12,0.00,49.18,70.00,30.00
2024/8/27,13:30:00,945,946,940,942,18664,1007,861,934,956,6.69,-2.06,-4.94,2.89,0.00,47.53,70.00,30.00
2024/8/28,13:30:00,945,964,943,964,31014,1009,862,935,959,6.78,-0.68,-4.09,3.41,0.00,52.27,70.00,30.00
2024/8/29,13:30:00,942,947,937,943,43473,1008,862,935,956,6.64,-1.27,-3.53,2.26,0.00,47.83,70.00,30.00
2024/8/30,13:30:00,944,952,941,944,63810,1008,865,937,953,6.68,-1.64,-3.15,1.51,0.00,48.06,70.00,30.00
2024/9/2,13:30:00,950,955,943,948,18620,988,898,943,950,6.83,-1.59,-2.84,1.25,0.00,49.01,70.00,30.00
2024/9/3,13:30:00,948,952,939,940,19510,981,912,946,948,6.79,-2.17,-2.70,0.53,0.00,47.15,70.00,30.00
2024/9/4,13:30:00,894,905,888,889,79412,986,903,945,941,7.64,-6.67,-3.50,-3.17,0.00,37.39,70.00,30.00
2024/9/5,13:30:00,907,915,900,902,30477,985,905,945,936,8.04,-9.08,-4.61,-4.47,0.00,40.76,70.00,30.00
2024/9/6,13:30:00,909,918,903,918,24401,986,903,944,932,8.28,-9.59,-5.61,-3.98,0.00,44.70,70.00,30.00
2024/9/9,13:30:00,892,900,891,899,35844,988,896,942,927,8.89,-11.40,-6.77,-4.63,0.00,41.19,70.00,30.00
2024/9/10,13:30:00,907,911,901,904,33409,989,892,940,921,8.99,-12.28,-7.87,-4.41,0.00,42.47,70.00,30.00
2024/9/11,13:30:00,906,906,900,901,17994,990,886,938,916,9.11,-13.07,-8.91,-4.16,0.00,41.88,70.00,30.00
2024/9/12,13:30:00,936,944,928,940,39398,989,886,938,916,9.16,-10.44,-9.22,-1.22,0.00,51.32,70.00,30.00
2024/9/13,13:30:00,955,955,939,947,25237,986,887,937,916,9.55,-7.69,-8.91,1.22,0.00,52.80,70.00,30.00
2024/9/16,13:30:00,952,952,943,947,13595,983,888,935,916,9.91,-5.45,-8.22,2.77,0.00,52.80,70.00,30.00
2024/9/18,13:30:00,945,948,933,941,28394,978,890,934,922,9.81,-4.12,-7.40,3.28,0.00,51.25,70.00,30.00
