<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2024/6/24,13:30:00,940,940,940,940,11461
2024/6/25,13:30:00,925,945,923,945,57317
2024/6/26,13:30:00,951,960,951,960,44911
2024/6/27,13:30:00,951,961,949,960,39696
2024/6/28,13:30:00,956,971,955,966,39100
2024/7/1,13:30:00,968,977,965,968,19900
2024/7/2,13:30:00,967,971,959,960,25382
2024/7/3,13:30:00,976,979,967,979,24017
2024/7/4,13:30:00,1000,1010,997,1005,41808
2024/7/5,13:30:00,1005,1010,1000,1005,19893
2024/7/8,13:30:00,1005,1050,1000,1035,40055
2024/7/9,13:30:00,1030,1055,1025,1040,46324
2024/7/10,13:30:00,1020,1050,1015,1045,46143
2024/7/11,13:30:00,1065,1080,1055,1080,41594
2024/7/12,13:30:00,1030,1045,1025,1040,68872
2024/7/15,13:30:00,1040,1045,1025,1040,38331
2024/7/16,13:30:00,1040,1070,1035,1055,32082
2024/7/17,13:30:00,1035,1045,1020,1030,53955
2024/7/18,13:30:00,988,1005,986,1005,81911
2024/7/19,13:30:00,988,995,970,970,92263
2024/7/22,13:30:00,964,965,938,939,82855
2024/7/23,13:30:00,963,979,956,979,47048
2024/7/26,13:30:00,915,930,915,924,81991
2024/7/29,13:30:00,942,948,936,944,40740
2024/7/30,13:30:00,930,949,926,940,41723
2024/7/31,13:30:00,929,940,928,934,39840
2024/8/1,13:30:00,969,969,948,960,47318
2024/8/2,13:30:00,918,928,903,903,75813
2024/8/5,13:30:00,852,857,813,815,143558
2024/8/6,13:30:00,868,895,840,880,102814
2024/8/7,13:30:00,901,920,893,920,59054
2024/8/8,13:30:00,901,905,887,896,38116
2024/8/9,13:30:00,927,934,922,934,49336
2024/8/12,13:30:00,942,948,931,940,38272
2024/8/13,13:30:00,945,945,937,941,25714
2024/8/14,13:30:00,951,955,945,948,36717
2024/8/15,13:30:00,945,950,941,943,19434
2024/8/16,13:30:00,963,969,958,969,44006
2024/8/19,13:30:00,969,975,964,973,21306
2024/8/20,13:30:00,977,977,968,973,24008
2024/8/21,13:30:00,961,964,956,958,29724
2024/8/22,13:30:00,958,964,948,951,24319
2024/8/23,13:30:00,944,952,939,949,27566
2024/8/26,13:30:00,957,961,945,950,25030
2024/8/27,13:30:00,945,946,940,942,18664
2024/8/28,13:30:00,945,964,943,964,31014
2024/8/29,13:30:00,942,947,937,943,43473
2024/8/30,13:30:00,944,952,941,944,63810
2024/9/2,13:30:00,950,955,943,948,18620
2024/9/3,13:30:00,948,952,939,940,19510
2024/9/4,13:30:00,894,905,888,889,79412
2024/9/5,13:30:00,907,915,900,902,30477
2024/9/6,13:30:00,909,918,903,918,24401
2024/9/9,13:30:00,892,900,891,899,35844
2024/9/10,13:30:00,907,911,901,904,33409
2024/9/11,13:30:00,906,906,900,901,17994
2024/9/12,13:30:00,936,944,928,940,39398
2024/9/13,13:30:00,955,955,939,947,25237
2024/9/16,13:30:00,952,952,943,947,13595
2024/9/18,13:30:00,945,948,933,941,28394
2024/9/19,13:30:00,940,960,936,960,32674
2024/9/20,13:30:00,981,982,971,973,60066
2024/9/23,13:30:00,971,977,971,977,14456
2024/9/24,13:30:00,976,987,971,987,26678
2024/9/25,13:30:00,1000,1005,998,1005,39210
2024/9/26,13:30:00,1010,1015,1005,1015,38001
2024/9/27,13:30:00,1020,1025,1000,1000,35720
2024/9/30,13:30:00,978,990,957,957,61439
2024/10/1,13:30:00,967,977,967,972,26734
2024/10/4,13:30:00,986,986,967,977,40906
2024/10/7,13:30:00,993,1010,989,1005,39596
2024/10/8,13:30:00,1000,1010,997,1010,30785
2024/10/9,13:30:00,1030,1035,1020,1020,46899
2024/10/11,13:30:00,1025,1050,1020,1045,42968
2024/10/14,13:30:00,1045,1055,1035,1045,36776
2024/10/15,13:30:00,1050,1075,1050,1070,42793
2024/10/16,13:30:00,1040,1070,1035,1045,52605
2024/10/17,13:30:00,1050,1055,1030,1035,54110
2024/10/18,13:30:00,1095,1100,1075,1085,84938
2024/10/21,13:30:00,1090,1095,1080,1085,36415
2024/10/22,13:30:00,1065,1075,1060,1075,41153
2024/10/23,13:30:00,1060,1070,1055,1060,31380
2024/10/24,13:30:00,1070,1075,1055,1060,38204
2024/10/25,13:30:00,1065,1070,1060,1065,21976
2024/10/28,13:30:00,1075,1080,1050,1050,40070
2024/10/29,13:30:00,1035,1040,1020,1040,45361
2024/10/30,13:30:00,1040,1055,1030,1030,38152
2024/11/1,13:30:00,996,1030,996,1025,54432
2024/11/4,13:30:00,1030,1045,1025,1040,26692
2024/11/5,13:30:00,1030,1055,1030,1050,32349
2024/11/6,13:30:00,1050,1080,1040,1060,55286
2024/11/7,13:30:00,1050,1075,1050,1065,43929
2024/11/8,13:30:00,1085,1090,1080,1090,36807
2024/11/11,13:30:00,1080,1090,1070,1085,34642
2024/11/12,13:30:00,1060,1065,1050,1050,50976
